CODIGO DANE,DEPARTAMENTO,MUNICIPIO,PERSONAS EXPULSADAS,PERSONAS RECIBIDAS,PERSONAS DECLARADAS
66001,RISARALDA,PEREIRA,4957,56031,58837
68468,SANTANDER,MOLAGAVITA,469,5,11
68522,SANTANDER,PALMAR,41,58,32
68524,SANTANDER,PALMAS DEL SOCORRO,11,196,221
68001,SANTANDER,BUCARAMANGA,7231,71398,77160
68152,SANTANDER,CARCASI,419,52,72
68162,SANTANDER,CERRITO,873,475,665
68190,SANTANDER,CIMITARRA,7720,4314,4041
68250,SANTANDER,EL PE„ON,1807,245,260
68327,SANTANDER,GUEPSA,85,133,117
97161,VAUPES,CARURU,1655,354,309
99001,VICHADA,PUERTO CARRE„O,2358,3932,4310
76113,VALLE DEL CAUCA,BUGALAGRANDE,6632,5453,7370
76248,VALLE DEL CAUCA,EL CERRITO,2403,3026,2998
76250,VALLE DEL CAUCA,EL DOVIO,5298,818,785
76275,VALLE DEL CAUCA,FLORIDA,6523,5309,5205
86320,PUTUMAYO,ORITO,26798,10187,9890
86573,PUTUMAYO,PUERTO LEGUIZAMO,15211,7074,6923
86757,PUTUMAYO,SAN MIGUEL,22676,5355,5566
94001,GUAINIA,INIRIDA,3454,9491,9793
94884,GUAINIA,PUERTO COLOMBIA,113,,
76845,VALLE DEL CAUCA,ULLOA,270,368,285
20443,CESAR,MANAURE,3789,5097,5816
81300,ARAUCA,FORTUL,6899,5199,5619
27086,CHOCO,BELEN DE BAJIRA,1555,441,
23162,CORDOBA,CERETE,1535,7754,7275
23466,CORDOBA,MONTELIBANO,42722,34766,35101
18256,CAQUETA,EL PAUJIL,10664,8612,8999
15837,BOYACA,TUTA,28,69,42
17174,CALDAS,CHINCHINA,1457,2446,1811
17495,CALDAS,NORCASIA,1215,1846,2219
19809,CAUCA,TIMBIQUI,19789,13564,13953
19824,CAUCA,TOTORO,2733,130,167
19473,CAUCA,MORALES,9807,7579,7939
15425,BOYACA,MACANAL,181,146,134
15500,BOYACA,OICATA,5,11,9
15516,BOYACA,PAIPA,55,700,713
15332,BOYACA,GUICAN,319,21,26
18410,CAQUETA,LA MONTA„ITA,23536,6858,8091
18610,CAQUETA,SAN JOSE DEL FRAGUA,16351,4541,5202
18756,CAQUETA,SOLANO,14154,1639,1941
19100,CAUCA,BOLIVAR,16572,1179,879
15638,BOYACA,SACHICA,7,29,24
15720,BOYACA,SATIVANORTE,86,33,44
15757,BOYACA,SOCHA,252,173,147
15776,BOYACA,SUTAMARCHAN,12,73,64
15778,BOYACA,SUTATENZA,16,62,74
15798,BOYACA,TENZA,6,15,14
15808,BOYACA,TINJACA,5,23,7
27372,CHOCO,JURADO,5396,1702,1628
47030,MAGDALENA,ALGARROBO,7121,3145,4967
47170,MAGDALENA,CHIBOLO,13028,3426,4668
47245,MAGDALENA,EL BANCO,8202,10867,7594
27073,CHOCO,BAGADO,15797,7639,4504
27135,CHOCO,EL CANTON DEL SAN PABLO,1323,895,739
27245,CHOCO,EL CARMEN DE ATRATO,8610,5085,5715
27361,CHOCO,ISTMINA,16980,14362,13441
25123,CUNDINAMARCA,CACHIPAY,199,343,340
25224,CUNDINAMARCA,CUCUNUBA,12,121,127
25293,CUNDINAMARCA,GACHALA,586,175,154
25299,CUNDINAMARCA,GAMA,165,23,15
25326,CUNDINAMARCA,GUATAVITA,22,10,3
25599,CUNDINAMARCA,APULO,413,434,433
25754,CUNDINAMARCA,SOACHA,3459,56419,52442
25438,CUNDINAMARCA,MEDINA,5574,2793,3096
25530,CUNDINAMARCA,PARATEBUENO,1345,1077,1766
47268,MAGDALENA,EL RETEN,5893,7220,7228
